;num_tipo;codigo;banco;descricao;tipo;unidade;quantidade;valor_unitario;total
;Insumo; 00010567 ;SINAPI;TABUA *2,5 X 23* CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA;Material;M;0,5500000;8,99;4,94
;Insumo; 00007356 ;SINAPI;TINTA LATEX ACRILICA PREMIUM, COR BRANCO FOSCO;Material;L;0,0256000;27,16;0,69
; 1.1.2 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 0101001131 ;AGESUL;TAPUME COM TELHA TRAPEZOIDAL  EM ACO GALVANIZADO, ESP=0,50MM, ESTRUTURA EM MADEIRA NAO APARELHADA (REAPROVEITAMENTO DA TELHA DE 3X);1;m²;1,0000000;67,60;67,60
;Insumo; 7433 ;AGESUL;PREGO DE ACO POLIDO COM CABECA 18 X 27 (2 1/2 X 10) - SINAPI - 00005061;Material;KG;0,0428000;18,99;0,81
;Insumo; 8540 ;AGESUL;TELHA TRAPEZOIDAL EM ACO ZINCADO, SEM PINTURA, ALTURA DE APROXIMADAMENTE 40 MM, ESPESSURA DE 0,50 MM E LARGURA UTIL DE 980 MM - SINAPI - 00007243;Material;m²;0,3500000;44,41;15,54
;Insumo; 1630 ;AGESUL;"SERRA CIRCULAR DE BANCADA COM MOTOR ELETRICO POTENCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHP DIURNO. AF_08/2015 - SINAPI - 91692";Material;CHP;0,0044000;29,26;0,12
;Insumo; 4003 ;AGESUL;CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES - SINAPI - 88262;Mão de Obra;H;0,5691000;25,69;14,62
;Insumo; 1023 ;AGESUL;CAIBRO NAO APARELHADO *5 X 6* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA - SINAPI - 00004430;Material;M;1,2273000;14,85;18,22
;Insumo; 4031 ;AGESUL;AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES - SINAPI - 88239;Mão de Obra;H;0,1897000;21,39;4,05
;Insumo; 1664 ;AGESUL;TABUA *2,5 X 30 CM EM PINUS, MISTA OU EQUIVALENTE DA REGIAO - BRUTA - SINAPI - 00006212;Material;M;1,0000000;13,20;13,20
;Insumo; 1669 ;AGESUL;CONCRETO MAGRO PARA LASTRO, TRACO 1:4,5:4,5 (EM MASSA SECA DE CIMENTO/ AREIA MEDIA/ BRITA 1) - PREPARO MANUAL. AF_05/2021 - SINAPI - 94974;Material;m³;0,0012000;434,28;0,52
;Insumo; 1631 ;AGESUL;"SERRA CIRCULAR DE BANCADA COM MOTOR ELETRICO POTENCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHI DIURNO. AF_08/2015 - SINAPI - 91693";Material;CHI;0,0191000;27,70;0,52
; 1.1.3 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 0101001136 ;AGESUL;PORTAO PARA TAPUME COM TELHA TRAPEZOIDAL EM ACO GALVANIZADO,  ESP=0,5MM, EM ESTRUTURA DE MADEIRA, INCLUSIVE FERRAGENS (REAPROVEITAMENTO DA TELHA DE 3X);1;m²;1,0000000;66,80;66,80
;Insumo; 6341 ;AGESUL;"FERROLHO COM FECHO / TRINCO REDONDO, EM ACO GALVANIZADO / ZINCADO, DE SOBREPOR, COM COMPRIMENTO DE 2"" E ESPESSURA MINIMA DA CHAPA DE 0,90 MM, PARA PORTAS E JANELAS - SINAPI - 00003119";Material;UN;0,3333333;2,63;0,87
;Insumo; 4031 ;AGESUL;AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES - SINAPI - 88239;Mão de Obra;H;0,5000000;21,39;10,69
;Insumo; 1646 ;AGESUL;PONTALETE ROLICO SEM TRATAMENTO, D = 8 A 11 CM, H = 3 M, EM EUCALIPTO OU EQUIVALENTE DA REGIAO - BRUTA (PARA ESCORAMENTO) - SINAPI - 00002745;Material;M;1,4800000;4,81;7,11
;Insumo; 6334 ;AGESUL;TELHA TRAPEZOIDAL EM ACO ZINCADO, SEM PINTURA, ALTURA DE APROXIMADAMENTE 40 MM, ESPESSURA DE 0,50 MM E LARGURA UTIL DE 980 MM - SINAPI - 00007243;Material;m²;0,3500000;44,41;15,54
;Insumo; 1145 ;AGESUL;RIPA NAO APARELHADA, *1,5 X 5* CM, EM MACARANDUBA/MASSARANDUBA, ANGELIM OU EQUIVALENTE DA REGIAO - BRUTA - SINAPI - 00004408;Material;M;3,1166667;2,83;8,82
;Insumo; 4003 ;AGESUL;CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES - SINAPI - 88262;Mão de Obra;H;0,5000000;25,69;12,84
;Insumo; 6102 ;AGESUL;"PORTA CADEADO EM ACO GALVANIZADO, COMPRIMENTO DE 3 1/2"" - SINAPI - 00005088";Material;UN;0,3333333;6,66;2,21
;Insumo; 1045 ;AGESUL;PREGO DE ACO POLIDO COM CABECA 18 X 30 (2 3/4 X 10) - SINAPI - 00005075;Material;KG;0,0500000;19,32;0,96
;Insumo; 1077 ;AGESUL;"DOBRADICA EM ACO/FERRO, 3"" X 2 1/2"", E= 1,2 A 1,8 MM, SEM ANEL, CROMADO OU ZINCADO, TAMPA CHATA, COM PARAFUSOS - SINAPI - 00002433";Material;UN;1,0000000;7,76;7,76
; 1.1.4 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 0101001176 ;AGESUL;LOCACAO DE BANHEIRO QUIMICO, INCLUSO 4 HIGIENIZACOES, MOBILIZACAO E DESMOBILIZACAO;1;MES;1,0000000;1.300,00;1.300,00
;Insumo; 1616 ;AGESUL;LOCACAO DE BANHEIRO QUIMICO, INCLUSO 4 HIGIENIZAÇOES, MOBILIZACAO E DESMOBILIZACAO;Material;MES;1,0000000;1.300,00;1.300,00
; 1.1.5 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 01_002 ;Próprio;LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA ESCRITORIO, SEM DIVISORIA - ALMOXARIFADO;SEDI - SERVIÇOS DIVERSOS;MÊS;1,0000000;650,39;650,39
;Insumo; 00010776 ;SINAPI;LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA ESCRITORIO, SEM DIVISORIAS INTERNAS E SEM SANITARIO (NAO INCLUI MOBILIZACAO/DESMOBILIZACAO);Equipamento;MES;1,0000000;650,39;650,39
; 1.1.6 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 0101001196 ;AGESUL;MOBILIZACAO E DESMOBILIZACAO DE CONTAINER;1;UN;1,0000000;1.078,32;1.078,32
;Insumo; 6614 ;AGESUL;GUINDAUTO HIDRAULICO, CAPACIDADE MAXIMA DE CARGA 6200 KG, MOMENTO MAXIMO DE CARGA 11,7 TM, ALCANCE MAXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHAO TOCO PBT 16.000 KG, POTENCIA DE 189 CV - CHP DIURNO. AF_06/2014 - SINAPI - 5928;Material;CHP;4,0000000;269,58;1.078,32
; 1.1.7 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 01_003 ;Próprio;EXECUÇÃO DE CENTRAL DE ARMADURA EM CANTEIRO DE OBRA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS. (REF. SINAPI 93582);CANT - CANTEIRO DE OBRAS;m²;1,0000000;266,62;266,62
;Composição Auxiliar; 98441 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, SEM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,0981000;96,13;9,43
;Composição Auxiliar; 91170 ;SINAPI;"FIXAÇÃO DE TUBOS HORIZONTAIS DE PVC ÁGUA, PVC ESGOTO, PVC ÁGUA PLUVIAL, CPVC, PPR, COBRE OU AÇO, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO U PERFIL 1 1/4"", FIXADA EM PERFILADO EM LAJE. AF_09/2023_PS";INHI - INSTALAÇÕES HIDROS SANITÁRIAS;M;0,2219000;11,62;2,57
;Composição Auxiliar; 101891 ;SINAPI;DISJUNTOR MONOPOLAR TIPO NEMA, CORRENTE NOMINAL DE 35 ATÉ 50A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0828000;27,96;2,31
;Composição Auxiliar; 97886 ;SINAPI;CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,3X0,3X0,3 M. AF_12/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0331000;163,08;5,39
;Composição Auxiliar; 98446 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MENOR QUE 6 M², COM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,1195000;139,34;16,65
;Composição Auxiliar; 101876 ;SINAPI;QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM PVC, DE EMBUTIR, SEM BARRAMENTO, PARA 6 DISJUNTORES - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0166000;78,50;1,30
;Composição Auxiliar; 92543 ;SINAPI;TRAMA DE MADEIRA COMPOSTA POR TERÇAS PARA TELHADOS DE ATÉ 2 ÁGUAS PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO TRANSPORTE VERTICAL. AF_07/2019;COBE - COBERTURA;m²;1,2467000;25,20;31,41
;Composição Auxiliar; 91959 ;SINAPI;INTERRUPTOR SIMPLES (2 MÓDULOS), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0166000;41,33;0,68
;Composição Auxiliar; 98445 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MAIOR OU IGUAL A 6 M², COM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,1532000;111,32;17,05
;Composição Auxiliar; 92001 ;SINAPI;TOMADA BAIXA DE EMBUTIR (1 MÓDULO), 2P+T 20 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0331000;30,37;1,00
;Composição Auxiliar; 91870 ;SINAPI;"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 20 MM (1/2""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,2219000;12,15;2,69
;Composição Auxiliar; 91862 ;SINAPI;"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 20 MM (1/2""), PARA CIRCUITOS TERMINAIS, INSTALADO EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,3397000;9,35;3,17
;Composição Auxiliar; 88489 ;SINAPI;PINTURA LÁTEX ACRÍLICA PREMIUM, APLICAÇÃO MANUAL EM PAREDES, DUAS DEMÃOS. AF_04/2023;PINT - PINTURAS;m²;0,4837000;11,83;5,72
;Composição Auxiliar; 95805 ;SINAPI;CONDULETE DE PVC, TIPO B, PARA ELETRODUTO DE PVC SOLDÁVEL DN 25 MM (3/4''), APARENTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2022;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0662000;19,15;1,26
;Composição Auxiliar; 94210 ;SINAPI;TELHAMENTO COM TELHA ONDULADA DE FIBROCIMENTO E = 6 MM, COM RECOBRIMENTO LATERAL DE 1 1/4 DE ONDA PARA TELHADO COM INCLINAÇÃO MÁXIMA DE 10°, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019;COBE - COBERTURA;m²;1,2467000;50,73;63,24
;Composição Auxiliar; 93358 ;SINAPI;ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MENOR OU IGUAL A 1,30 M. AF_02/2021;MOVT - MOVIMENTO DE TERRA;m³;0,0013000;82,91;0,10
;Composição Auxiliar; 97586 ;SINAPI;LUMINÁRIA TIPO CALHA, DE SOBREPOR, COM 2 LÂMPADAS TUBULARES FLUORESCENTES DE 36 W, COM REATOR DE PARTIDA RÁPIDA - FORNECIMENTO E INSTALAÇÃO. AF_02/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,1325000;156,94;20,79
;Composição Auxiliar; 98442 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MENOR QUE 6 M², SEM VÃO. AF_05/2018;CANT - CANTEIRO DE OBRAS;m²;0,1129000;163,84;18,49
;Composição Auxiliar; 92000 ;SINAPI;TOMADA BAIXA DE EMBUTIR (1 MÓDULO), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0331000;28,47;0,94
;Composição Auxiliar; 96985 ;SINAPI;"HASTE DE ATERRAMENTO, DIÂMETRO 5/8"", COM 3 METROS - FORNECIMENTO E INSTALAÇÃO. AF_08/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0331000;73,06;2,41
;Composição Auxiliar; 92981 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 16 MM², ANTI-CHAMA 450/750 V, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,1656000;15,17;2,51
;Composição Auxiliar; 91924 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 1,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,9334000;2,84;2,65
;Composição Auxiliar; 91926 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,9472000;4,12;3,90
;Composição Auxiliar; 95241 ;SINAPI;LASTRO DE CONCRETO MAGRO, APLICADO EM PISOS, LAJES SOBRE SOLO OU RADIERS, ESPESSURA DE 5 CM. AF_01/2024;FUES - FUNDAÇÕES E ESTRUTURAS;m²;1,2467000;34,52;43,03
;Insumo; 00010891 ;SINAPI;EXTINTOR DE INCENDIO PORTATIL COM CARGA DE PO QUIMICO SECO (PQS) DE 4 KG, CLASSE BC;Material;UN;0,0166000;235,21;3,90
;Insumo; 00010886 ;SINAPI;EXTINTOR DE INCENDIO PORTATIL COM CARGA DE AGUA PRESSURIZADA DE 10 L, CLASSE A;Material;UN;0,0166000;243,23;4,03
; 1.1.8 ;Código;Banco;Descrição;Tipo;Und;Quant.;Valor Unit;Total
;Composição; 01_004 ;Próprio;EXECUÇÃO DE CENTRAL DE FÔRMAS, PRODUÇÃO DE ARGAMASSA OU CONCRETO EM CANTEIRO DE OBRA, NÃO INCLUSO MOBILIÁRIO E EQUIPAMENTOS (REF. SINAPI 93583);CANT - CANTEIRO DE OBRAS;m²;1,0000000;454,68;454,68
;Composição Auxiliar; 92023 ;SINAPI;INTERRUPTOR SIMPLES (1 MÓDULO) COM 1 TOMADA DE EMBUTIR 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0966000;46,22;4,46
;Composição Auxiliar; 91170 ;SINAPI;"FIXAÇÃO DE TUBOS HORIZONTAIS DE PVC ÁGUA, PVC ESGOTO, PVC ÁGUA PLUVIAL, CPVC, PPR, COBRE OU AÇO, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO U PERFIL 1 1/4"", FIXADA EM PERFILADO EM LAJE. AF_09/2023_PS";INHI - INSTALAÇÕES HIDROS SANITÁRIAS;M;0,4251000;11,62;4,93
;Composição Auxiliar; 95805 ;SINAPI;CONDULETE DE PVC, TIPO B, PARA ELETRODUTO DE PVC SOLDÁVEL DN 25 MM (3/4''), APARENTE - FORNECIMENTO E INSTALAÇÃO. AF_10/2022;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,3865000;19,15;7,40
;Composição Auxiliar; 96985 ;SINAPI;"HASTE DE ATERRAMENTO, DIÂMETRO 5/8"", COM 3 METROS - FORNECIMENTO E INSTALAÇÃO. AF_08/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0966000;73,06;7,05
;Composição Auxiliar; 94210 ;SINAPI;TELHAMENTO COM TELHA ONDULADA DE FIBROCIMENTO E = 6 MM, COM RECOBRIMENTO LATERAL DE 1 1/4 DE ONDA PARA TELHADO COM INCLINAÇÃO MÁXIMA DE 10°, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019;COBE - COBERTURA;m²;1,9256000;50,73;97,68
;Composição Auxiliar; 98446 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MENOR QUE 6 M², COM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,1176000;139,34;16,38
;Composição Auxiliar; 92981 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 16 MM², ANTI-CHAMA 450/750 V, PARA DISTRIBUIÇÃO - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,4831000;15,17;7,32
;Composição Auxiliar; 92008 ;SINAPI;TOMADA BAIXA DE EMBUTIR (2 MÓDULOS), 2P+T 10 A, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,2899000;43,90;12,72
;Composição Auxiliar; 92543 ;SINAPI;TRAMA DE MADEIRA COMPOSTA POR TERÇAS PARA TELHADOS DE ATÉ 2 ÁGUAS PARA TELHA ONDULADA DE FIBROCIMENTO, METÁLICA, PLÁSTICA OU TERMOACÚSTICA, INCLUSO TRANSPORTE VERTICAL. AF_07/2019;COBE - COBERTURA;m²;1,9256000;25,20;48,52
;Composição Auxiliar; 98442 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MENOR QUE 6 M², SEM VÃO. AF_05/2018;CANT - CANTEIRO DE OBRAS;m²;0,1111000;163,84;18,20
;Composição Auxiliar; 91924 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 1,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;1,0821000;2,84;3,07
;Composição Auxiliar; 91926 ;SINAPI;CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;2,0870000;4,12;8,59
;Composição Auxiliar; 98445 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, COM ÁREA LÍQUIDA MAIOR OU IGUAL A 6 M², COM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,1508000;111,32;16,78
;Composição Auxiliar; 97886 ;SINAPI;CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,3X0,3X0,3 M. AF_12/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0966000;163,08;15,75
;Composição Auxiliar; 101891 ;SINAPI;DISJUNTOR MONOPOLAR TIPO NEMA, CORRENTE NOMINAL DE 35 ATÉ 50A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,2899000;27,96;8,10
;Composição Auxiliar; 91870 ;SINAPI;"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 20 MM (1/2""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,4638000;12,15;5,63
;Composição Auxiliar; 101876 ;SINAPI;QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM PVC, DE EMBUTIR, SEM BARRAMENTO, PARA 6 DISJUNTORES - FORNECIMENTO E INSTALAÇÃO. AF_10/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,0966000;78,50;7,58
;Composição Auxiliar; 97586 ;SINAPI;LUMINÁRIA TIPO CALHA, DE SOBREPOR, COM 2 LÂMPADAS TUBULARES FLUORESCENTES DE 36 W, COM REATOR DE PARTIDA RÁPIDA - FORNECIMENTO E INSTALAÇÃO. AF_02/2020;INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;UN;0,1932000;156,94;30,32
;Composição Auxiliar; 98441 ;SINAPI;PAREDE DE MADEIRA COMPENSADA PARA CONSTRUÇÃO TEMPORÁRIA EM CHAPA SIMPLES, EXTERNA, SEM VÃO. AF_03/2024;CANT - CANTEIRO DE OBRAS;m²;0,0966000;96,13;9,28
;Composição Auxiliar; 91862 ;SINAPI;"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 20 MM (1/2""), PARA CIRCUITOS TERMINAIS, INSTALADO EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023";INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA;M;0,4251000;9,35;3,97
;Composição Auxiliar; 93358 ;SINAPI;ESCAVAÇÃO MANUAL DE VALA COM PROFUNDIDADE MENOR OU IGUAL A 1,30 M. AF_02/2021;MOVT - MOVIMENTO DE TERRA;m³;0,0078000;82,91;0,64
;Composição Auxiliar; 91173 ;SINAPI;"FIXAÇÃO DE TUBOS VERTICAIS DE PVC ÁGUA, PVC ESGOTO, PVC ÁGUA PLUVIAL, CPVC, PPR, COBRE OU AÇO, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO U PERFIL 1 1/4"", FIXADA EM PERFILADO EM PAREDE. AF_09/2023_PS";INHI - INSTALAÇÕES HIDROS SANITÁRIAS;M;0,4638000;4,33;2,00
